色,上の句,下の句,上の句読み,下の句読み,決まり字（競技かるた）,決まり字（五色百人一首）
青,朝[あさ]ぼらけ有明[ありあけ]の月[つき]と見[み]るまでに,吉野[よしの]の里[さと]に降[ふ]れる白雪[しらゆき],あさぼらけ ありあけのつきと みるまでに,よしののさとに ふれるしらゆき,あさぼらけあ,あさ
青,足曳[あしびき]の山鳥[やまどり]の尾[を]のしだり尾[を]の,⾧々[ながなが]し夜[よ]を独[ひと]りかも寝[ね]む,あしびきの やまどりのをの しだりをの,ながながしよを ひとりかもねむ,あし,あし
青,天[あま]つ風[かぜ]雲[くも]の通[かよ]ひ路[ぢ]吹[ふ]きとじよ,をとめの姿[すがた]しばしとどめむ,あまつかぜ くものかよひぢ ふきとぢよ,をとめのすがた しばしとどめむ,あまつ,あま
青,嵐[あらし]吹[ふ]く三室[みむろ]の山[やま]のもみぢ葉[ば]は,龍田[たつた]の川[かは]の錦[にしき]なりけり,あらしふく みむろのやまの もみぢばは,たつたのかはの にしきなりけり,あらし,あら
青,有明[ありあけ]のつれなく見[み]えし別[わか]れより,暁[あかつき]ばかり憂[う]きものはなし,ありあけの つれなくみえし わかれより,あかつきばかり うきものはなし,ありあ,あり
青,いにしへの奈良[なら]の都[みやこ]の八重桜[やへざくら],けふ九重[ここのへ]に匂[にほ]ひぬるかな,いにしへの ならのみやこの やへざくら,けふここのへに にほひぬるかな,いに,い
青,憂[う]かりける人[ひと]を初瀬[はつせ]の山[やま]おろしよ,はげしかれとは祈[いの]らぬものを,うかりける ひとをはつせの やまおろしよ,はげしかれとは いのらぬものを,うか,う
青,奥山[おくやま]に紅葉[もみぢ]踏[ふ]み分[わ]け鳴[な]く鹿[しか]の,声[こゑ]聞[き]く時[とき]ぞ秋[あき]は悲[かな]しき,おくやまに もみぢふみわけ なくしかの,こゑきくときぞ あきはかなしき,おく,おく
青,思[おも]ひ侘[わ]びさても命[いのち]はあるものを,憂[う]きにたへぬは涙[なみだ]なりけり,おもひわびて さてもいのちは あるものを,うきにたへぬは なみだなりけり,おも,おも
青,鵲[かささぎ]の渡[わた]せる橋[はし]に置[お]く霜[しも]の,白[しろ]きを見[み]れば夜[よ]ぞ更[ふ]けにける,かささぎの わたせるはしに おくしもの,しろきをみれば よぞふけにける,かさ,か
青,君[きみ]がため惜[を]しからざりし命[いのち]さへ,永[なが]くもがなと思[おも]ひけるかな,きみがため をしからざりし いのちさへ,ながくもがなと おもひけるかな,きみがためを,きみ
青,きりぎりす鳴[な]くや霜夜[しもよ]のさむしろに,衣[ころも]かたしき独[ひと]りかも寝[ね]む,きりぎりす なくやしもよの さむしろに,ころもかたしき ひとりかもねむ,きり,きり
青,この度[たび]はぬさも取[と]りあへず手向山[たむけやま],紅葉[もみぢ]の錦[にしき]神[かみ]のまにまに,このたびは ぬさもとりあへず たむけやま,もみぢのにしき かみのまにまに,この,こ
青,寂[さび]しさに宿[やど]を立[た]ち出[い]でてながむれば,いづこも同[おな]じ秋[あき]の夕暮[ゆふぐれ],さびしさに やどをたちいでて ながむれば,いづこもおなじ あきのゆふぐれ,さ,さ
青,契[ちぎ]りおきしさせもが露[つゆ]を命[いのち]にて,あはれ今年[ことし]の秋[あき]もいぬめり,ちぎりおきし させもがつゆを いのちにて,あはれことしの あきもいぬめり,ちぎりお,ち
青,陸奥[みちのく]の信夫[しのぶ]もぢずり誰[たれ]故[ゆゑ]に,乱[みだ]れそめにし我[われ]ならなくに,みちのくの しのぶもぢずり たれゆゑに,みだれそめにし われならなくに,みち,み
青,巡[めぐ]り逢[あ]ひて見[み]しやそれともわかぬ間[ま]に,雲[くも]がくれにし夜半[よは]の月[つき]かな,めぐりあひて みしやそれとも わかぬまに,くもがくれにし よはのつきかな,め,め
青,百敷[ももしき]や古[ふる]き軒端[のきば]のしのぶにも,なほあまりある昔[むかし]なりけり,ももしきや ふるきのきばの しのぶにも,なほあまりある むかしなりけり,もも,も
青,夜[よ]をこめて鳥[とり]の空音[そらね]ははかるとも,世[よ]に逢坂[あふさか]の関[せき]は許[ゆる]さじ,よをこめて とりのそらねは はかるとも,よにあふさかの せきはゆるさじ,よを,よ
青,和田[わた]の原[はら]漕[こ]ぎ出[い]でて見[み]れば久方[ひさかた]の,雲[くも]ゐにまがふ沖[おき]つ白波[しらなみ],わたのはら こぎいでてみれば ひさかたの,くもゐにまがふ おきつしらなみ,わたのはらこ,わ
ピンク,秋[あき]の田[た]のかりほの庵[いほ]のとまをあらみ,わが衣手[ころもで]は露[つゆ]にぬれつつ,あきのたの かりほのいほの とまをあらみ,わがころもでは つゆにぬれつつ,あきの,あき
ピンク,有馬山[ありまやま]猪名[ゐな]の笹原[ささはら]風[かぜ]吹[ふ]けば,いでそよ人[ひと]を忘[わす]れやはする,ありまやま ゐなのささはら かぜふけば,いでそよひとを わすれやはする,ありま,あり
ピンク,恨[うら]み侘[わ]び干[ほ]さぬ袖[そで]だにあるものを,恋[こひ]に朽[く]ちなむ名[な]こそ惜[を]しけれ,うらみわび ほさぬそでだに あるものを,こひにくちなむ なこそをしけれ,うら,う
ピンク,音[おと]に聞[き]く高師[たかし]の浜[はま]のあだ浪[なみ]は,かけじや袖[そで]のぬれもこそすれ,おとにきく たかしのはまの あだなみは,かけじやそでの ぬれもこそすれ,おと,お
